epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.398,3.60638,5.80014,4.24059,0.00078,0.00524,0.0004,0.00013,3.49836,5.59524,4.17906,0.0033218,0.0033218,0.0033218
2,210.3,3.42175,5.45063,3.92013,0.00187,0.00653,0.00098,0.00027,3.18802,4.74741,3.63086,0.00662518,0.00662518,0.00662518
3,349.022,2.97564,5.01507,3.21528,0.56519,0.00183,0.00091,0.00029,2.7729,4.94371,2.96796,0.00989857,0.00989857,0.00989857
4,443.857,2.55134,4.63676,2.70267,0.00212,0.07486,0.00282,0.00111,2.43885,4.04978,2.63229,0.009865,0.009865,0.009865
5,539.687,2.31739,4.36419,2.42361,0.00339,0.10896,0.00484,0.00209,2.26692,3.85917,2.42786,0.00982,0.00982,0.00982
6,633.92,2.18228,4.1949,2.27636,0.14283,0.05952,0.00789,0.00372,2.21876,3.7872,2.3546,0.009775,0.009775,0.009775
7,728.376,2.12599,4.03775,2.1947,0.45891,0.01651,0.01238,0.00559,2.16137,3.60646,2.25493,0.00973,0.00973,0.00973
8,1364.91,2.0757,3.8798,2.14118,0.27337,0.03317,0.01325,0.00607,2.15601,3.65992,2.17801,0.009685,0.009685,0.009685
9,1460.27,2.0411,3.79304,2.09315,0.4277,0.03469,0.01848,0.00897,2.1057,3.48653,2.16852,0.00964,0.00964,0.00964
10,1555.18,1.99397,3.66929,2.03936,0.48125,0.04194,0.02378,0.01114,2.0129,3.44688,2.13915,0.009595,0.009595,0.009595
11,1650.64,1.96634,3.5983,2.01223,0.35988,0.04912,0.02642,0.01301,1.9974,3.29707,2.08384,0.00955,0.00955,0.00955
12,1733.77,1.92375,3.53005,1.98642,0.34189,0.05769,0.03022,0.01532,1.98946,3.25567,2.0712,0.009505,0.009505,0.009505
13,1860.23,1.90761,3.47732,1.95931,0.35274,0.0596,0.03414,0.01764,1.95354,3.20206,2.02568,0.00946,0.00946,0.00946
14,1957.46,1.89527,3.41939,1.93982,0.36936,0.06085,0.03659,0.01896,1.96117,3.18659,1.99438,0.009415,0.009415,0.009415
15,2054.18,1.89364,3.35963,1.91754,0.31279,0.06836,0.04143,0.02231,1.92172,3.08871,1.98585,0.00937,0.00937,0.00937
16,2150,1.86657,3.32046,1.91736,0.30284,0.0737,0.0449,0.02382,1.91697,3.0879,1.95143,0.009325,0.009325,0.009325
17,2926.28,1.85084,3.28666,1.89291,0.32175,0.07797,0.04553,0.02423,1.90215,3.06625,1.9534,0.00928,0.00928,0.00928
18,3022.29,1.82764,3.24998,1.87216,0.26478,0.08487,0.05126,0.02852,1.8726,3.03826,1.95097,0.009235,0.009235,0.009235
19,3122.55,1.81184,3.19999,1.8623,0.23802,0.09056,0.0532,0.02899,1.85669,3.03199,1.94812,0.00919,0.00919,0.00919
20,3228.6,1.81202,3.17888,1.84943,0.31464,0.09206,0.0561,0.0307,1.84759,3.03441,1.93493,0.009145,0.009145,0.009145
21,3364.68,1.79518,3.15517,1.84525,0.26403,0.09253,0.05935,0.03247,1.84233,2.95701,1.91462,0.0091,0.0091,0.0091
22,3500.25,1.79436,3.12521,1.83975,0.24499,0.0993,0.05964,0.03227,1.83431,2.91826,1.90589,0.009055,0.009055,0.009055
23,3607.26,1.77812,3.07336,1.82467,0.28253,0.09803,0.0636,0.03519,1.83373,2.95961,1.91145,0.00901,0.00901,0.00901
24,3706.32,1.77188,3.04854,1.81587,0.24891,0.10493,0.06698,0.0373,1.82403,2.91366,1.89786,0.008965,0.008965,0.008965
25,3801.73,1.76749,3.05468,1.81547,0.27976,0.11641,0.07086,0.03959,1.82519,2.86924,1.89218,0.00892,0.00892,0.00892
