epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.628,3.89095,5.21043,4.05916,0.00109,0.37486,0.002,0.00054,3.73909,3.92641,3.9238,0.00333084,0.00333084,0.00333084
2,217.877,3.27482,4.30681,3.2571,0.53005,0.03917,0.04211,0.01347,2.83321,3.39166,2.81949,0.00663418,0.00663418,0.00663418
3,319.254,2.58938,3.45228,2.57376,0.30796,0.16903,0.11121,0.04288,2.49206,3.10138,2.52274,0.00990753,0.00990753,0.00990753
4,420.32,2.3252,3.04157,2.30785,0.38437,0.21939,0.20901,0.09493,2.22922,2.69596,2.25824,0.009865,0.009865,0.009865
5,521.029,2.18087,2.80233,2.16578,0.34841,0.28433,0.2331,0.11264,2.1183,2.53347,2.1647,0.00982,0.00982,0.00982
6,622.076,2.10177,2.67468,2.09241,0.3677,0.32806,0.27522,0.13169,2.07239,2.4443,2.13073,0.009775,0.009775,0.009775
7,722.951,2.05531,2.58381,2.04414,0.37238,0.36329,0.30458,0.15329,2.02086,2.38251,2.0973,0.00973,0.00973,0.00973
8,823.507,2.01127,2.5065,2.00455,0.41713,0.36318,0.34591,0.18059,1.99848,2.28839,2.06032,0.009685,0.009685,0.009685
9,924.55,1.98431,2.44165,1.96882,0.43664,0.40329,0.38529,0.20469,1.95895,2.23207,2.02937,0.00964,0.00964,0.00964
10,1025.39,1.95519,2.39197,1.94435,0.46431,0.41361,0.40383,0.21191,1.93254,2.17758,2.00292,0.009595,0.009595,0.009595
11,1126.45,1.938,2.35591,1.92844,0.48824,0.41717,0.4214,0.21772,1.92372,2.14542,1.9976,0.00955,0.00955,0.00955
12,1227.15,1.92135,2.31566,1.90722,0.51547,0.43581,0.43663,0.24006,1.87698,2.07435,1.94757,0.009505,0.009505,0.009505
13,1351.7,1.90244,2.26751,1.8956,0.55882,0.44087,0.46838,0.25404,1.89264,2.05973,1.9543,0.00946,0.00946,0.00946
14,1539.22,1.89446,2.24668,1.88121,0.53385,0.46883,0.47292,0.26044,1.8711,2.02954,1.92446,0.009415,0.009415,0.009415
15,1726.85,1.88463,2.22465,1.87438,0.53837,0.48103,0.49244,0.27249,1.84256,1.99023,1.91373,0.00937,0.00937,0.00937
16,1914.16,1.86841,2.19677,1.85599,0.53338,0.48582,0.49565,0.27615,1.82912,1.97822,1.9125,0.009325,0.009325,0.009325
17,2101.28,1.8558,2.17384,1.83972,0.5414,0.50273,0.50501,0.28625,1.81582,1.95351,1.89441,0.00928,0.00928,0.00928
18,2288.97,1.8542,2.15659,1.83361,0.56196,0.49362,0.51416,0.29143,1.80879,1.91888,1.8768,0.009235,0.009235,0.009235
19,2477.01,1.84166,2.15018,1.82614,0.58118,0.50513,0.52661,0.30451,1.79882,1.92026,1.87222,0.00919,0.00919,0.00919
20,2664.11,1.83326,2.11441,1.81791,0.5697,0.51952,0.53887,0.30954,1.78199,1.88718,1.8529,0.009145,0.009145,0.009145
21,2851.63,1.83245,2.11667,1.81121,0.60583,0.51962,0.54722,0.31255,1.78057,1.87387,1.84929,0.0091,0.0091,0.0091
22,3039.21,1.81653,2.08028,1.79807,0.59892,0.52609,0.54513,0.30836,1.77346,1.86499,1.84754,0.009055,0.009055,0.009055
23,3226.86,1.80883,2.06976,1.78384,0.59608,0.53359,0.56017,0.32289,1.76197,1.83111,1.82972,0.00901,0.00901,0.00901
24,3414.18,1.80443,2.05253,1.77941,0.60253,0.53055,0.56276,0.33041,1.75012,1.8266,1.81333,0.008965,0.008965,0.008965
25,3601.6,1.79851,2.03771,1.77446,0.61738,0.53033,0.56735,0.3319,1.75246,1.81347,1.81733,0.00892,0.00892,0.00892
26,3787.91,1.79743,2.04142,1.77479,0.63739,0.54238,0.57903,0.33903,1.74693,1.79618,1.81701,0.008875,0.008875,0.008875
27,3974.48,1.79091,2.01379,1.7616,0.61608,0.54781,0.57873,0.33652,1.73855,1.78648,1.80472,0.00883,0.00883,0.00883
28,4160.5,1.7811,2.00475,1.7527,0.64607,0.5525,0.589,0.34414,1.73572,1.77833,1.79632,0.008785,0.008785,0.008785
29,4347.2,1.7783,1.99628,1.75105,0.64117,0.55968,0.59109,0.34237,1.73027,1.76552,1.78991,0.00874,0.00874,0.00874
30,4534.42,1.77767,1.99035,1.74453,0.63969,0.56307,0.59214,0.34654,1.72293,1.75624,1.78567,0.008695,0.008695,0.008695
31,4720.71,1.76317,1.96479,1.74235,0.65115,0.56082,0.59986,0.34907,1.7196,1.7437,1.78788,0.00865,0.00865,0.00865
32,4908.4,1.76115,1.95117,1.73766,0.66802,0.56505,0.60531,0.35255,1.71572,1.7365,1.78175,0.008605,0.008605,0.008605
33,5096.1,1.75502,1.94805,1.73335,0.67118,0.55858,0.60279,0.35427,1.71685,1.72836,1.78121,0.00856,0.00856,0.00856
34,5283.14,1.75929,1.9406,1.72626,0.64812,0.57921,0.60623,0.35776,1.71133,1.7249,1.7768,0.008515,0.008515,0.008515
35,5470.92,1.75385,1.93799,1.72168,0.66332,0.57333,0.61236,0.36054,1.70867,1.71572,1.77007,0.00847,0.00847,0.00847
36,5658.66,1.74777,1.92509,1.716,0.64747,0.57923,0.61537,0.36309,1.70447,1.70858,1.76424,0.008425,0.008425,0.008425
37,5845.25,1.73807,1.91389,1.70899,0.65727,0.57917,0.6168,0.36537,1.70349,1.70413,1.76253,0.00838,0.00838,0.00838
38,6032.83,1.74815,1.92317,1.71921,0.64212,0.58925,0.61687,0.3656,1.70059,1.70017,1.75925,0.008335,0.008335,0.008335
39,6219.49,1.73325,1.89697,1.70439,0.65213,0.58542,0.61796,0.36713,1.70074,1.69379,1.75937,0.00829,0.00829,0.00829
40,6405.58,1.73637,1.90365,1.70212,0.65971,0.58842,0.62213,0.3695,1.69676,1.69182,1.75609,0.008245,0.008245,0.008245
