epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.407,3.88558,5.22671,4.06041,0.00108,0.36303,0.00213,0.0006,3.74387,3.82068,3.77895,0.00333084,0.00333084,0.00333084
2,270.313,3.27871,4.31553,3.2794,0.53265,0.04764,0.04007,0.01303,2.78559,3.42261,2.84788,0.00663418,0.00663418,0.00663418
3,394.979,2.60622,3.47886,2.59722,0.10146,0.1914,0.09864,0.04076,2.45453,3.15596,2.48224,0.00990753,0.00990753,0.00990753
4,583.974,2.3474,3.07904,2.32668,0.34623,0.19858,0.16512,0.07603,2.26947,2.86193,2.29917,0.009865,0.009865,0.009865
5,771.319,2.2035,2.83469,2.17615,0.41367,0.23079,0.2307,0.10928,2.14473,2.5937,2.19286,0.00982,0.00982,0.00982
6,958.674,2.12338,2.69877,2.09873,0.39525,0.30961,0.29441,0.13847,2.08136,2.44076,2.12854,0.009775,0.009775,0.009775
7,1147,2.0665,2.59912,2.04593,0.36587,0.34866,0.30904,0.15426,2.03619,2.37443,2.1079,0.00973,0.00973,0.00973
8,1334.5,2.03225,2.51621,2.0078,0.41965,0.36409,0.34911,0.17339,2.00387,2.32634,2.07941,0.009685,0.009685,0.009685
9,1522.24,1.99831,2.45433,1.9688,0.43459,0.38237,0.37818,0.19796,1.97655,2.25041,2.02718,0.00964,0.00964,0.00964
10,1710.23,1.97284,2.40838,1.94309,0.41764,0.4051,0.38673,0.19638,1.93267,2.21636,1.9919,0.009595,0.009595,0.009595
11,1898,1.96025,2.36787,1.92761,0.48153,0.45184,0.43114,0.22557,1.89913,2.10862,1.96005,0.00955,0.00955,0.00955
12,2085.87,1.93492,2.33092,1.8967,0.48738,0.43079,0.42172,0.22553,1.89042,2.08973,1.93412,0.009505,0.009505,0.009505
13,2273.09,1.92094,2.28511,1.88665,0.51964,0.43576,0.4541,0.24449,1.88581,2.05666,1.92854,0.00946,0.00946,0.00946
14,2464.31,1.9042,2.2622,1.86408,0.54225,0.45627,0.46926,0.25011,1.85649,2.04693,1.90203,0.009415,0.009415,0.009415
15,2648.58,1.89689,2.23751,1.8636,0.54936,0.4665,0.48299,0.26625,1.83754,2.01605,1.9062,0.00937,0.00937,0.00937
16,2839.09,1.88292,2.22368,1.84419,0.52191,0.48842,0.48998,0.26807,1.84068,1.99888,1.90675,0.009325,0.009325,0.009325
17,2949.95,1.87208,2.19377,1.83042,0.53611,0.48743,0.49343,0.27843,1.82865,1.97289,1.88424,0.00928,0.00928,0.00928
18,3074.11,1.86234,2.17002,1.82395,0.5357,0.49283,0.5066,0.28133,1.81229,1.93955,1.87014,0.009235,0.009235,0.009235
19,3205.57,1.8586,2.16058,1.81768,0.54707,0.50171,0.5153,0.29298,1.80511,1.93439,1.85629,0.00919,0.00919,0.00919
