epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.045,3.87875,5.18897,4.04562,0.00117,0.38995,0.00267,0.00068,3.68443,3.75714,3.76264,0.00333084,0.00333084,0.00333084
2,333.6,3.23288,4.27643,3.22404,0.53768,0.0491,0.04324,0.01638,2.78941,3.42781,2.84746,0.00663418,0.00663418,0.00663418
3,447.489,2.59906,3.46327,2.57952,0.14671,0.17368,0.10435,0.04762,2.49904,3.38242,2.50817,0.00990753,0.00990753,0.00990753
4,560.431,2.35203,3.08967,2.33181,0.35952,0.23449,0.19141,0.08439,2.2629,2.7521,2.34666,0.009865,0.009865,0.009865
5,674.82,2.20328,2.85116,2.18962,0.44456,0.23482,0.23221,0.10567,2.16175,2.63099,2.20634,0.00982,0.00982,0.00982
6,788.839,2.12073,2.70985,2.10638,0.34307,0.29404,0.26114,0.12772,2.08922,2.49704,2.17319,0.009775,0.009775,0.009775
7,901.568,2.06583,2.6103,2.04662,0.3304,0.34571,0.27494,0.1369,2.0311,2.41546,2.12225,0.00973,0.00973,0.00973
8,1015.35,2.02442,2.53142,2.01036,0.36655,0.36911,0.32633,0.16868,2.0129,2.34702,2.08566,0.009685,0.009685,0.009685
9,1128.89,1.99546,2.46738,1.97249,0.37144,0.3992,0.35482,0.18872,1.9588,2.27663,2.00917,0.00964,0.00964,0.00964
10,1241.75,1.96917,2.423,1.95013,0.44221,0.40273,0.37787,0.19933,1.94519,2.23628,2.00655,0.009595,0.009595,0.009595
11,1355.65,1.95229,2.38378,1.93114,0.46791,0.42123,0.42711,0.2267,1.91567,2.15612,1.98853,0.00955,0.00955,0.00955
12,1468.68,1.93414,2.34201,1.9014,0.50314,0.44334,0.43877,0.23101,1.88362,2.10118,1.93737,0.009505,0.009505,0.009505
13,1582.6,1.91232,2.30117,1.88764,0.52522,0.43932,0.45433,0.24169,1.8964,2.09526,1.95036,0.00946,0.00946,0.00946
14,1696.36,1.89965,2.27558,1.87329,0.52819,0.47147,0.47506,0.2586,1.8756,2.06689,1.92604,0.009415,0.009415,0.009415
15,1809.23,1.89127,2.25023,1.86725,0.524,0.47854,0.47741,0.27093,1.85245,2.0225,1.90278,0.00937,0.00937,0.00937
16,1922.66,1.88359,2.22846,1.85286,0.55028,0.47199,0.49093,0.27276,1.84434,2.0215,1.9147,0.009325,0.009325,0.009325
17,2036.66,1.86814,2.2032,1.83771,0.5528,0.4966,0.50171,0.28211,1.84242,1.97524,1.89012,0.00928,0.00928,0.00928
18,2149.94,1.85777,2.18423,1.82544,0.55971,0.50093,0.5152,0.28894,1.80944,1.94766,1.8597,0.009235,0.009235,0.009235
19,2263.98,1.85307,2.17921,1.81822,0.58379,0.49994,0.51743,0.29683,1.79894,1.94615,1.85785,0.00919,0.00919,0.00919
20,2377.07,1.841,2.14735,1.81214,0.57009,0.5069,0.52881,0.30451,1.7898,1.91891,1.84648,0.009145,0.009145,0.009145
21,2489.53,1.83872,2.1428,1.8017,0.57718,0.50923,0.52812,0.3074,1.7847,1.90369,1.84149,0.0091,0.0091,0.0091
22,2601.99,1.82768,2.111,1.79448,0.57498,0.51364,0.53138,0.29787,1.78343,1.89857,1.84047,0.009055,0.009055,0.009055
23,2715.72,1.82451,2.09566,1.78624,0.58002,0.5258,0.54443,0.3138,1.76964,1.86366,1.82314,0.00901,0.00901,0.00901
24,2829.47,1.81409,2.07633,1.77728,0.60401,0.53562,0.55583,0.32543,1.76582,1.85735,1.81977,0.008965,0.008965,0.008965
25,2942.04,1.80904,2.05852,1.77253,0.59435,0.53585,0.55787,0.32597,1.75613,1.84299,1.81249,0.00892,0.00892,0.00892
26,3055.65,1.8073,2.06408,1.76873,0.60562,0.53751,0.5684,0.3356,1.75498,1.82748,1.80538,0.008875,0.008875,0.008875
27,3168.87,1.79344,2.05197,1.75723,0.60461,0.54207,0.56689,0.32971,1.74653,1.82483,1.80036,0.00883,0.00883,0.00883
