epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,130.48,3.88503,5.19507,4.04069,0.00115,0.35682,0.00327,0.00085,3.74943,3.83259,3.8331,0.00333084,0.00333084,0.00333084
2,247.937,3.30947,4.32155,3.29776,0.45202,0.11257,0.03192,0.0105,3.06808,3.97285,3.16313,0.00663418,0.00663418,0.00663418
3,364.806,2.60027,3.46111,2.61607,0.26726,0.18732,0.11606,0.04922,2.42642,3.17904,2.49887,0.00990753,0.00990753,0.00990753
4,480.262,2.34244,3.05838,2.33623,0.372,0.22296,0.18014,0.08314,2.24494,2.73894,2.29891,0.009865,0.009865,0.009865
5,594.819,2.19772,2.81768,2.18464,0.43396,0.26372,0.24299,0.11158,2.11983,2.5402,2.17762,0.00982,0.00982,0.00982
6,710.302,2.11448,2.67831,2.10204,0.33269,0.3379,0.28792,0.14045,2.052,2.43193,2.11751,0.009775,0.009775,0.009775
7,824.396,2.06317,2.58726,2.04693,0.38325,0.35228,0.31955,0.15597,1.99749,2.36264,2.08769,0.00973,0.00973,0.00973
8,1016.53,2.01369,2.50003,2.00979,0.37811,0.38541,0.3577,0.18076,2.02313,2.29531,2.10742,0.009685,0.009685,0.009685
9,1217.87,1.98555,2.43561,1.96883,0.43054,0.38991,0.38234,0.19991,1.96419,2.23843,2.04675,0.00964,0.00964,0.00964
10,1422.26,1.95543,2.39214,1.93837,0.41773,0.41078,0.38064,0.19736,1.96204,2.24027,2.04682,0.009595,0.009595,0.009595
11,1626.68,1.94268,2.35261,1.92852,0.45807,0.4322,0.43434,0.23027,1.92551,2.14299,1.98431,0.00955,0.00955,0.00955
12,1830.62,1.92148,2.31647,1.89899,0.49489,0.44775,0.43873,0.23432,1.87355,2.05795,1.94753,0.009505,0.009505,0.009505
13,2034.21,1.90266,2.26978,1.88445,0.55123,0.44188,0.46933,0.25838,1.87753,2.06108,1.96085,0.00946,0.00946,0.00946
14,2237.82,1.8954,2.24563,1.86995,0.54424,0.48671,0.49386,0.2679,1.84834,2.01788,1.90935,0.009415,0.009415,0.009415
15,2441.84,1.88411,2.21739,1.86808,0.53603,0.49206,0.4963,0.27711,1.83828,1.99339,1.90558,0.00937,0.00937,0.00937
16,2645.37,1.87511,2.20372,1.84838,0.5574,0.47533,0.49976,0.27809,1.83211,1.96939,1.91559,0.009325,0.009325,0.009325
17,2851.91,1.85971,2.17622,1.83765,0.56324,0.49529,0.50533,0.2827,1.81218,1.95539,1.88519,0.00928,0.00928,0.00928
18,3055.73,1.85099,2.15592,1.8293,0.57524,0.50727,0.52311,0.29841,1.80537,1.91298,1.87508,0.009235,0.009235,0.009235
19,3260.02,1.84542,2.14549,1.82681,0.59192,0.50329,0.5244,0.29564,1.79984,1.92356,1.8798,0.00919,0.00919,0.00919
20,3464.54,1.83517,2.12107,1.81607,0.59052,0.52784,0.54668,0.30686,1.78423,1.88763,1.85503,0.009145,0.009145,0.009145
21,3668,1.83402,2.11622,1.80302,0.60156,0.52106,0.55244,0.31684,1.77032,1.87323,1.82896,0.0091,0.0091,0.0091
22,3872.12,1.81733,2.08562,1.79835,0.57047,0.54,0.55,0.30775,1.78039,1.86493,1.84666,0.009055,0.009055,0.009055
23,4077.22,1.81284,2.06726,1.78648,0.59712,0.55016,0.56506,0.3313,1.76285,1.83383,1.82366,0.00901,0.00901,0.00901
24,4281.64,1.80731,2.04898,1.78107,0.6076,0.54027,0.56694,0.32685,1.75187,1.83267,1.81884,0.008965,0.008965,0.008965
