epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.789,3.88493,5.26144,4.07017,0.00104,0.37628,0.00172,0.00049,3.74379,3.89413,3.84249,0.00333084,0.00333084,0.00333084
2,219.218,3.40227,4.39775,3.32951,0.4411,0.11925,0.01211,0.0037,3.02946,3.64961,2.96809,0.00663418,0.00663418,0.00663418
3,321.054,2.6761,3.59429,2.63936,0.42937,0.10562,0.09165,0.04121,2.48423,3.20792,2.48859,0.00990753,0.00990753,0.00990753
4,421.445,2.35188,3.09082,2.32239,0.36347,0.23882,0.1968,0.08969,2.22425,2.67829,2.26799,0.009865,0.009865,0.009865
5,567.189,2.18922,2.81176,2.16492,0.409,0.24099,0.23345,0.10837,2.13708,2.55687,2.18259,0.00982,0.00982,0.00982
6,760.109,2.1058,2.67653,2.0938,0.30444,0.33787,0.25645,0.12595,2.07144,2.42364,2.12467,0.009775,0.009775,0.009775
7,952.668,2.05329,2.57334,2.03953,0.36438,0.3715,0.3171,0.15979,2.00313,2.34605,2.07878,0.00973,0.00973,0.00973
8,1145.47,2.01059,2.49055,2.00381,0.41527,0.39454,0.35927,0.18265,1.98248,2.25266,2.06209,0.009685,0.009685,0.009685
9,1337.7,1.97415,2.43522,1.96406,0.47854,0.38762,0.38291,0.20044,1.93858,2.20468,2.00528,0.00964,0.00964,0.00964
10,1530.97,1.94861,2.38155,1.93969,0.48532,0.41933,0.40816,0.2099,1.92024,2.16105,1.98906,0.009595,0.009595,0.009595
11,1723.1,1.93209,2.33611,1.92335,0.46343,0.43668,0.43176,0.22833,1.89314,2.10377,1.96754,0.00955,0.00955,0.00955
12,1915.38,1.91132,2.30496,1.89925,0.53877,0.44621,0.46199,0.24882,1.8718,2.05473,1.95078,0.009505,0.009505,0.009505
13,2107.44,1.89068,2.2564,1.88904,0.4942,0.45287,0.45917,0.25078,1.87101,2.05634,1.95448,0.00946,0.00946,0.00946
14,2300.39,1.88225,2.23933,1.8722,0.52577,0.4708,0.47357,0.26078,1.83658,2.02193,1.90476,0.009415,0.009415,0.009415
15,2493.35,1.87403,2.2054,1.86518,0.5257,0.48995,0.49006,0.26793,1.84202,1.99949,1.92315,0.00937,0.00937,0.00937
16,2685.82,1.85849,2.19159,1.8518,0.53056,0.49068,0.49755,0.27481,1.8298,1.97388,1.9167,0.009325,0.009325,0.009325
17,2877.79,1.84818,2.16942,1.83977,0.57574,0.50469,0.52136,0.2965,1.81072,1.93325,1.88569,0.00928,0.00928,0.00928
18,3069.8,1.83693,2.14169,1.82797,0.57399,0.5134,0.5319,0.30647,1.7928,1.90796,1.86582,0.009235,0.009235,0.009235
19,3262.02,1.83069,2.13618,1.81783,0.57514,0.50646,0.52678,0.29665,1.79695,1.91215,1.86426,0.00919,0.00919,0.00919
20,3454.34,1.82112,2.10546,1.80977,0.61926,0.50744,0.54508,0.30436,1.78788,1.87285,1.85418,0.009145,0.009145,0.009145
21,3646.29,1.82344,2.09953,1.80289,0.61651,0.5152,0.54577,0.31014,1.77686,1.85697,1.84514,0.0091,0.0091,0.0091
22,3838.31,1.80576,2.06797,1.7961,0.59146,0.5228,0.54689,0.31403,1.77298,1.85097,1.85223,0.009055,0.009055,0.009055
23,4030,1.802,2.05167,1.7868,0.61691,0.52624,0.55942,0.32624,1.75931,1.82524,1.82747,0.00901,0.00901,0.00901
24,4222.23,1.79006,2.03466,1.77435,0.63595,0.52727,0.56562,0.33027,1.75498,1.80733,1.82061,0.008965,0.008965,0.008965
25,4412.94,1.78997,2.0225,1.77396,0.62392,0.54128,0.57265,0.33444,1.74446,1.80115,1.81967,0.00892,0.00892,0.00892
26,4605.22,1.78569,2.02778,1.76929,0.62247,0.55341,0.58238,0.34425,1.73198,1.78448,1.81098,0.008875,0.008875,0.008875
27,4799.97,1.77555,1.99913,1.75549,0.62608,0.55478,0.58695,0.34274,1.73324,1.77479,1.80355,0.00883,0.00883,0.00883
28,4928.57,1.76813,1.9898,1.75022,0.63773,0.55617,0.587,0.34671,1.73019,1.7691,1.79667,0.008785,0.008785,0.008785
29,5071.73,1.76557,1.97691,1.74464,0.63093,0.56554,0.59535,0.35447,1.72468,1.75288,1.79325,0.00874,0.00874,0.00874
30,5186.92,1.76479,1.96869,1.74415,0.63305,0.57582,0.59967,0.35738,1.71986,1.74399,1.78983,0.008695,0.008695,0.008695
31,5336.1,1.75242,1.95348,1.73673,0.64868,0.57509,0.60496,0.35932,1.71365,1.73155,1.78546,0.00865,0.00865,0.00865
32,5506.22,1.75254,1.9417,1.739,0.66293,0.56991,0.60913,0.36277,1.71242,1.7234,1.78519,0.008605,0.008605,0.008605
33,5697.99,1.74245,1.93306,1.72725,0.65133,0.58541,0.6125,0.36528,1.7079,1.71456,1.77988,0.00856,0.00856,0.00856
34,5888.64,1.74772,1.92905,1.7257,0.65159,0.5839,0.61277,0.36427,1.70451,1.70939,1.77789,0.008515,0.008515,0.008515
35,6077.83,1.73809,1.93115,1.7156,0.64679,0.59271,0.61785,0.36965,1.69887,1.70081,1.76806,0.00847,0.00847,0.00847
36,6267.42,1.73338,1.91614,1.71307,0.66297,0.58449,0.61914,0.37004,1.69853,1.69908,1.76544,0.008425,0.008425,0.008425
37,6461.31,1.72882,1.89863,1.7082,0.6482,0.59228,0.61975,0.3715,1.69511,1.69162,1.76146,0.00838,0.00838,0.00838
38,6646.15,1.73395,1.91606,1.71558,0.6423,0.5949,0.62152,0.37311,1.69317,1.68788,1.75997,0.008335,0.008335,0.008335
39,6755.98,1.72424,1.88999,1.70423,0.65856,0.59441,0.62346,0.37516,1.6928,1.68521,1.75937,0.00829,0.00829,0.00829
40,6875.9,1.72641,1.89198,1.69894,0.65991,0.59891,0.6245,0.37637,1.69109,1.68175,1.75725,0.008245,0.008245,0.008245
41,6997.78,1.7169,1.87091,1.69129,0.66319,0.59826,0.62515,0.37656,1.68928,1.67738,1.7555,0.0082,0.0082,0.0082
42,7147.47,1.71406,1.86521,1.68939,0.67258,0.59832,0.62794,0.37946,1.68765,1.67038,1.75291,0.008155,0.008155,0.008155
43,7329.13,1.70875,1.86105,1.68672,0.68095,0.59739,0.62973,0.38162,1.68579,1.66503,1.75081,0.00811,0.00811,0.00811
44,7440.87,1.70952,1.84812,1.68097,0.67931,0.60129,0.63109,0.38228,1.68434,1.66124,1.74884,0.008065,0.008065,0.008065
45,7599.96,1.70881,1.84463,1.6849,0.681,0.60191,0.63377,0.38459,1.68116,1.65625,1.74685,0.00802,0.00802,0.00802
46,7790.27,1.70556,1.84552,1.67691,0.68247,0.60078,0.63494,0.38526,1.67948,1.65318,1.74502,0.007975,0.007975,0.007975
47,7938.01,1.70042,1.83401,1.67782,0.68402,0.60215,0.6366,0.38607,1.67863,1.6513,1.74411,0.00793,0.00793,0.00793
48,8094.96,1.70079,1.82915,1.6707,0.68542,0.60348,0.63915,0.3876,1.67682,1.64905,1.74253,0.007885,0.007885,0.007885
49,8265.37,1.69648,1.81806,1.66174,0.68506,0.60475,0.64035,0.38829,1.67566,1.64642,1.74057,0.00784,0.00784,0.00784
50,8463.76,1.6944,1.81467,1.66313,0.6848,0.60496,0.64136,0.38818,1.67471,1.64314,1.73921,0.007795,0.007795,0.007795
51,8659.26,1.69368,1.80425,1.66238,0.68277,0.60574,0.64148,0.38768,1.67303,1.64046,1.73768,0.00775,0.00775,0.00775
52,8850.74,1.68762,1.80886,1.65803,0.68291,0.60885,0.6431,0.38967,1.67215,1.63775,1.73616,0.007705,0.007705,0.007705
53,9040.88,1.67828,1.799,1.65948,0.68273,0.61143,0.64474,0.39029,1.67168,1.63534,1.73531,0.00766,0.00766,0.00766
54,9231.39,1.68107,1.78922,1.65328,0.68229,0.61287,0.64558,0.39005,1.67069,1.63361,1.73417,0.007615,0.007615,0.007615
55,9421.66,1.67454,1.78281,1.65478,0.6807,0.61471,0.64626,0.39035,1.66987,1.63181,1.73368,0.00757,0.00757,0.00757
