epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,206.749,3.87616,5.20035,4.03068,0.00125,0.38845,0.00254,0.00074,3.64811,3.80758,3.73983,0.00333084,0.00333084,0.00333084
2,396.172,3.07848,4.08132,3.09816,0.51544,0.08507,0.04796,0.01768,2.70296,3.36056,2.75468,0.00663418,0.00663418,0.00663418
3,578.582,2.53978,3.31663,2.52872,0.15849,0.18238,0.10406,0.04125,2.44393,3.04627,2.46903,0.00990753,0.00990753,0.00990753
4,757.872,2.33089,3.02575,2.31226,0.35939,0.2396,0.21088,0.09577,2.22711,2.67721,2.27462,0.009865,0.009865,0.009865
5,938.331,2.19726,2.80333,2.17395,0.4344,0.25172,0.24307,0.10782,2.14661,2.53454,2.20322,0.00982,0.00982,0.00982
6,1117.38,2.1212,2.67441,2.1012,0.35413,0.33528,0.28554,0.13563,2.08248,2.40678,2.117,0.009775,0.009775,0.009775
7,1297.6,2.07536,2.59127,2.0513,0.39023,0.34753,0.32112,0.16037,2.01095,2.36698,2.09357,0.00973,0.00973,0.00973
8,1476.84,2.03176,2.50852,2.00339,0.41547,0.37143,0.3471,0.17724,2.02398,2.3194,2.08079,0.009685,0.009685,0.009685
9,1657.34,2.00324,2.4479,1.96351,0.42941,0.38167,0.3661,0.19128,1.98584,2.26192,2.03459,0.00964,0.00964,0.00964
10,1837.3,1.97162,2.39447,1.93728,0.45496,0.4193,0.39148,0.19654,1.94466,2.20681,2.00325,0.009595,0.009595,0.009595
11,2017.06,1.95546,2.3609,1.92184,0.48772,0.43706,0.43001,0.23047,1.92127,2.12994,1.98104,0.00955,0.00955,0.00955
12,2199,1.94235,2.32988,1.90032,0.51327,0.43122,0.43237,0.22736,1.91078,2.09251,1.94987,0.009505,0.009505,0.009505
13,2380.28,1.91915,2.27989,1.88303,0.5017,0.45843,0.45398,0.24209,1.89848,2.04795,1.94867,0.00946,0.00946,0.00946
14,2566.35,1.91046,2.25563,1.8676,0.52504,0.46552,0.47854,0.26515,1.86727,2.01581,1.89619,0.009415,0.009415,0.009415
15,2749.97,1.89791,2.23102,1.86322,0.53234,0.47026,0.48158,0.26599,1.85772,1.99292,1.90988,0.00937,0.00937,0.00937
16,2932.08,1.88622,2.21003,1.83216,0.51859,0.48396,0.4856,0.25958,1.85626,1.98649,1.90371,0.009325,0.009325,0.009325
17,3114.26,1.87449,2.19058,1.82779,0.56408,0.48304,0.51155,0.2813,1.8418,1.94785,1.87793,0.00928,0.00928,0.00928
18,3299.5,1.86886,2.16485,1.82112,0.5817,0.49002,0.51894,0.28938,1.82538,1.92863,1.86001,0.009235,0.009235,0.009235
19,3483.39,1.86169,2.15516,1.81449,0.55095,0.50278,0.51336,0.28845,1.8138,1.912,1.84171,0.00919,0.00919,0.00919
20,3666.67,1.84806,2.12655,1.80076,0.582,0.51443,0.53524,0.30426,1.78865,1.87758,1.82966,0.009145,0.009145,0.009145
21,3849.95,1.85007,2.12704,1.79215,0.58354,0.53246,0.54285,0.31189,1.78972,1.86512,1.82174,0.0091,0.0091,0.0091
22,4033.57,1.83749,2.08555,1.78812,0.61043,0.51569,0.54718,0.30947,1.78752,1.84643,1.82588,0.009055,0.009055,0.009055
23,4217.8,1.82715,2.07672,1.77375,0.59694,0.53654,0.55954,0.31609,1.76247,1.83123,1.80675,0.00901,0.00901,0.00901
24,4400.65,1.82064,2.05892,1.77177,0.59808,0.54576,0.56356,0.31718,1.76242,1.82173,1.80042,0.008965,0.008965,0.008965
25,4580.33,1.81594,2.04069,1.76206,0.61348,0.54416,0.56756,0.32734,1.76142,1.80171,1.80129,0.00892,0.00892,0.00892
26,4761.86,1.81521,2.04662,1.76565,0.61043,0.5507,0.57386,0.33286,1.75808,1.79856,1.80131,0.008875,0.008875,0.008875
27,4941.73,1.80269,2.02231,1.75463,0.63001,0.55393,0.58249,0.33985,1.74872,1.77675,1.79202,0.00883,0.00883,0.00883
28,5121.04,1.79201,2.01179,1.74028,0.63117,0.55924,0.58365,0.34191,1.74691,1.78024,1.78502,0.008785,0.008785,0.008785
29,5300.27,1.79642,2.00503,1.73119,0.63652,0.56095,0.58857,0.34074,1.73835,1.76816,1.76762,0.00874,0.00874,0.00874
30,5479.99,1.79171,1.99492,1.72679,0.64674,0.55524,0.59137,0.34386,1.7353,1.75701,1.7647,0.008695,0.008695,0.008695
31,5659.52,1.77805,1.98029,1.72318,0.63439,0.56714,0.59628,0.34419,1.73068,1.75351,1.76103,0.00865,0.00865,0.00865
32,5838.59,1.77917,1.96399,1.72146,0.64652,0.56732,0.59881,0.35185,1.7284,1.74147,1.76071,0.008605,0.008605,0.008605
33,6019.74,1.77316,1.95484,1.71249,0.6372,0.57755,0.60299,0.35454,1.72438,1.73322,1.75206,0.00856,0.00856,0.00856
34,6200.56,1.77013,1.95606,1.71311,0.64341,0.5719,0.60107,0.35548,1.72095,1.72773,1.75294,0.008515,0.008515,0.008515
35,6378.99,1.76533,1.9549,1.70222,0.64687,0.57572,0.60762,0.35827,1.71412,1.72014,1.74244,0.00847,0.00847,0.00847
36,6557.96,1.75893,1.93346,1.69857,0.65026,0.58124,0.60953,0.35934,1.71371,1.71394,1.73993,0.008425,0.008425,0.008425
37,6737.89,1.75031,1.92319,1.69171,0.65421,0.583,0.61224,0.36262,1.71436,1.70908,1.74019,0.00838,0.00838,0.00838
38,6918.6,1.76556,1.93158,1.69763,0.64821,0.58735,0.61415,0.3652,1.71184,1.7046,1.7367,0.008335,0.008335,0.008335
39,7099.02,1.7483,1.91521,1.69041,0.64846,0.59124,0.61499,0.36416,1.7109,1.70253,1.73807,0.00829,0.00829,0.00829
