epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.583,3.88935,5.30478,4.09422,0.00118,0.18557,0.00101,0.0003,3.91174,4.35802,5.07467,0.00333084,0.00333084,0.00333084
2,212.969,3.36123,4.31198,3.29479,0.60978,0.03269,0.04713,0.01732,2.87109,3.51464,2.88901,0.00663418,0.00663418,0.00663418
3,315.877,2.59961,3.42094,2.56738,0.17848,0.19091,0.11785,0.05508,2.44159,3.03562,2.42641,0.00990753,0.00990753,0.00990753
4,417.062,2.35011,3.04987,2.31286,0.23477,0.26463,0.19282,0.08495,2.24769,2.67669,2.28245,0.009865,0.009865,0.009865
5,517.964,2.19541,2.80668,2.17563,0.26633,0.2845,0.2283,0.11249,2.14838,2.60048,2.18982,0.00982,0.00982,0.00982
6,618.859,2.11623,2.67744,2.09476,0.38736,0.33224,0.29052,0.14545,2.05537,2.41454,2.11821,0.009775,0.009775,0.009775
7,720.029,2.06448,2.57936,2.04424,0.37657,0.3534,0.32017,0.161,2.06029,2.37432,2.1343,0.00973,0.00973,0.00973
8,821.049,2.02318,2.49686,2.01188,0.41485,0.37998,0.34523,0.17709,2.00174,2.26192,2.07297,0.009685,0.009685,0.009685
9,922.232,1.98436,2.43856,1.97297,0.42048,0.38796,0.37743,0.19004,1.95357,2.22068,2.01225,0.00964,0.00964,0.00964
10,1023.44,1.96144,2.39161,1.94728,0.44494,0.41153,0.3982,0.20148,1.94195,2.19116,2.02048,0.009595,0.009595,0.009595
11,1124.57,1.94774,2.34589,1.92857,0.4816,0.43119,0.42329,0.21642,1.9164,2.11866,1.98909,0.00955,0.00955,0.00955
12,1225.8,1.92397,2.30637,1.90583,0.4848,0.44595,0.42946,0.23024,1.87873,2.05582,1.94639,0.009505,0.009505,0.009505
13,1327.03,1.90779,2.25519,1.89093,0.49808,0.45645,0.45213,0.24195,1.88265,2.03061,1.95281,0.00946,0.00946,0.00946
14,1428.39,1.89033,2.2343,1.87678,0.53755,0.47339,0.48317,0.26539,1.84728,2.01234,1.91218,0.009415,0.009415,0.009415
15,1529.48,1.8797,2.21072,1.87373,0.52504,0.485,0.49319,0.26922,1.84196,1.98449,1.9201,0.00937,0.00937,0.00937
16,1630.71,1.87011,2.19388,1.85543,0.53779,0.48075,0.49642,0.2711,1.8319,1.96986,1.91167,0.009325,0.009325,0.009325
17,1732.3,1.85891,2.16211,1.84482,0.56476,0.48105,0.50659,0.28029,1.81904,1.93843,1.89138,0.00928,0.00928,0.00928
18,1833.56,1.84935,2.1495,1.8349,0.58379,0.5042,0.52862,0.29817,1.80331,1.91067,1.87965,0.009235,0.009235,0.009235
19,1935.04,1.84309,2.13775,1.83615,0.55604,0.51144,0.5223,0.29585,1.79668,1.91343,1.88494,0.00919,0.00919,0.00919
20,2036,1.83222,2.11042,1.822,0.57984,0.51306,0.54045,0.30982,1.77219,1.86861,1.8507,0.009145,0.009145,0.009145
21,2136.78,1.82639,2.109,1.80823,0.61331,0.51809,0.55064,0.31372,1.7781,1.85657,1.84643,0.0091,0.0091,0.0091
22,2237.94,1.81353,2.07647,1.79958,0.59588,0.52602,0.55147,0.31242,1.77767,1.8517,1.85707,0.009055,0.009055,0.009055
23,2339.09,1.81291,2.05997,1.79332,0.60297,0.52721,0.55851,0.31882,1.7654,1.83091,1.846,0.00901,0.00901,0.00901
24,2440.3,1.80162,2.04202,1.78769,0.63805,0.53635,0.5688,0.33262,1.74629,1.80626,1.82975,0.008965,0.008965,0.008965
25,2541.53,1.79733,2.02518,1.78002,0.61383,0.541,0.56992,0.33204,1.748,1.79576,1.82233,0.00892,0.00892,0.00892
26,2642.73,1.79686,2.02822,1.77924,0.61523,0.54728,0.57707,0.33747,1.75187,1.78762,1.82452,0.008875,0.008875,0.008875
27,2743.9,1.78722,2.0082,1.76874,0.64363,0.54207,0.58163,0.3416,1.73508,1.7752,1.80927,0.00883,0.00883,0.00883
28,2844.94,1.77936,2.0035,1.75792,0.61902,0.55416,0.58718,0.34561,1.72892,1.7709,1.7959,0.008785,0.008785,0.008785
29,2946.44,1.77803,1.9882,1.75232,0.64069,0.55477,0.59317,0.34896,1.72711,1.7598,1.79742,0.00874,0.00874,0.00874
30,3047.51,1.77686,1.9843,1.75361,0.63309,0.56779,0.59652,0.34769,1.72422,1.74893,1.8003,0.008695,0.008695,0.008695
31,3148.59,1.76137,1.96423,1.74866,0.6342,0.56738,0.59557,0.34459,1.72037,1.74297,1.79884,0.00865,0.00865,0.00865
32,3249.71,1.76343,1.94578,1.74661,0.64138,0.56507,0.59902,0.3518,1.71855,1.73715,1.79436,0.008605,0.008605,0.008605
33,3350.57,1.758,1.94021,1.73898,0.66285,0.57259,0.60699,0.35805,1.71508,1.72652,1.78939,0.00856,0.00856,0.00856
34,3451.88,1.75857,1.94429,1.73673,0.65441,0.57748,0.6062,0.36038,1.70794,1.72139,1.78257,0.008515,0.008515,0.008515
35,3553.12,1.75166,1.94106,1.72907,0.6648,0.56928,0.61079,0.36254,1.70021,1.71615,1.77639,0.00847,0.00847,0.00847
36,3653.94,1.74419,1.924,1.72423,0.65357,0.5862,0.61404,0.36612,1.69671,1.70708,1.7723,0.008425,0.008425,0.008425
37,3755.29,1.7382,1.91063,1.71768,0.6663,0.57757,0.61684,0.3665,1.69708,1.69791,1.7704,0.00838,0.00838,0.00838
38,3856.42,1.74962,1.91687,1.72388,0.65717,0.58871,0.61914,0.36609,1.69602,1.69237,1.7684,0.008335,0.008335,0.008335
39,3957.41,1.73161,1.90041,1.7137,0.65975,0.58754,0.61905,0.36731,1.69461,1.68868,1.76767,0.00829,0.00829,0.00829
40,4058.76,1.73788,1.90146,1.71348,0.66328,0.58924,0.61975,0.36864,1.6936,1.68682,1.76682,0.008245,0.008245,0.008245
41,4160.13,1.73212,1.88154,1.70076,0.65869,0.59213,0.62196,0.37082,1.69191,1.68395,1.76295,0.0082,0.0082,0.0082
42,4261.31,1.72692,1.87562,1.69503,0.65187,0.59781,0.62563,0.37439,1.68899,1.67894,1.75815,0.008155,0.008155,0.008155
43,4362.8,1.71886,1.87017,1.69542,0.65445,0.59791,0.62745,0.376,1.68688,1.67464,1.75505,0.00811,0.00811,0.00811
44,4463.83,1.72244,1.86121,1.69036,0.65904,0.6001,0.6284,0.3757,1.68502,1.67085,1.75257,0.008065,0.008065,0.008065
45,4564.91,1.7171,1.85806,1.69126,0.66006,0.60002,0.628,0.37573,1.68436,1.66785,1.75223,0.00802,0.00802,0.00802
46,4665.94,1.71005,1.85209,1.68148,0.65542,0.6029,0.62793,0.37677,1.68186,1.664,1.7487,0.007975,0.007975,0.007975
47,4766.95,1.71383,1.84304,1.69059,0.66305,0.60285,0.63102,0.37818,1.68109,1.6599,1.74717,0.00793,0.00793,0.00793
48,4868.48,1.71124,1.83392,1.67912,0.6626,0.60626,0.63398,0.37937,1.6807,1.65633,1.74609,0.007885,0.007885,0.007885
49,4969.7,1.71079,1.82734,1.67825,0.66467,0.60546,0.63329,0.37946,1.67992,1.65351,1.74467,0.00784,0.00784,0.00784
50,5070.82,1.70387,1.82582,1.67369,0.669,0.60453,0.63467,0.38039,1.67884,1.65077,1.74298,0.007795,0.007795,0.007795
51,5172.26,1.70275,1.81176,1.66802,0.66479,0.60468,0.63523,0.38073,1.67752,1.64766,1.74092,0.00775,0.00775,0.00775
52,5273.24,1.70026,1.81938,1.67159,0.66116,0.60778,0.63659,0.38119,1.67668,1.64503,1.73968,0.007705,0.007705,0.007705
53,5374.25,1.69342,1.80946,1.66997,0.66256,0.60914,0.63868,0.38197,1.67571,1.64255,1.73859,0.00766,0.00766,0.00766
54,5475.21,1.69457,1.80035,1.66557,0.66631,0.60757,0.63906,0.38223,1.67546,1.64046,1.7384,0.007615,0.007615,0.007615
55,5576.92,1.68397,1.80004,1.66109,0.67149,0.60901,0.63992,0.38401,1.67478,1.63846,1.73783,0.00757,0.00757,0.00757
56,5765.4,1.69074,1.78883,1.66074,0.66682,0.61047,0.64067,0.38452,1.67353,1.63692,1.7366,0.007525,0.007525,0.007525
57,5954.6,1.69077,1.78647,1.65879,0.668,0.60979,0.64175,0.38497,1.67292,1.63416,1.73598,0.00748,0.00748,0.00748
58,6143.42,1.68576,1.78244,1.65655,0.66922,0.61002,0.64101,0.38511,1.67264,1.63221,1.73518,0.007435,0.007435,0.007435
59,6332.77,1.68255,1.77854,1.64765,0.67323,0.60801,0.6427,0.38589,1.67216,1.63077,1.73422,0.00739,0.00739,0.00739
60,6522.23,1.68356,1.77145,1.64022,0.67779,0.60774,0.64222,0.38639,1.67117,1.62909,1.733,0.007345,0.007345,0.007345
61,6710.7,1.67895,1.76708,1.64608,0.67749,0.60991,0.64317,0.38691,1.67042,1.62784,1.73229,0.0073,0.0073,0.0073
62,6899.54,1.68042,1.76776,1.6446,0.68081,0.61011,0.64396,0.38744,1.66928,1.62656,1.73117,0.007255,0.007255,0.007255
63,7089.07,1.6704,1.74798,1.63781,0.68238,0.61013,0.64475,0.38745,1.66853,1.62467,1.73026,0.00721,0.00721,0.00721
64,7278.13,1.66803,1.74761,1.63502,0.68462,0.61136,0.64628,0.38728,1.66811,1.62292,1.72946,0.007165,0.007165,0.007165
65,7466.74,1.67379,1.75,1.63394,0.67892,0.61523,0.64793,0.38833,1.66731,1.62136,1.72838,0.00712,0.00712,0.00712
66,7655.23,1.67308,1.74684,1.63702,0.68284,0.61601,0.64827,0.3902,1.66733,1.61903,1.72785,0.007075,0.007075,0.007075
67,7843.96,1.66746,1.74986,1.63311,0.68524,0.61574,0.64951,0.3899,1.66668,1.61772,1.72668,0.00703,0.00703,0.00703
68,8039.75,1.66483,1.73678,1.62475,0.6859,0.61479,0.64852,0.39011,1.66599,1.61594,1.72556,0.006985,0.006985,0.006985
69,8228.35,1.65678,1.73013,1.62484,0.68899,0.61252,0.64879,0.39024,1.66483,1.61364,1.72415,0.00694,0.00694,0.00694
70,8417.2,1.65977,1.72417,1.62526,0.69106,0.61233,0.64944,0.39025,1.66408,1.61161,1.72321,0.006895,0.006895,0.006895
71,8605.56,1.65994,1.71669,1.62231,0.69204,0.6145,0.64945,0.39116,1.66332,1.60924,1.72205,0.00685,0.00685,0.00685
72,8794.02,1.65936,1.7181,1.62298,0.69257,0.61495,0.6516,0.39197,1.66269,1.60713,1.72107,0.006805,0.006805,0.006805
73,8981.33,1.66018,1.72003,1.61601,0.69491,0.6134,0.6526,0.39297,1.66183,1.60492,1.71988,0.00676,0.00676,0.00676
74,9170.27,1.65312,1.71249,1.61581,0.69651,0.61446,0.65358,0.39282,1.66135,1.60313,1.71894,0.006715,0.006715,0.006715
75,9358.76,1.65164,1.70537,1.60826,0.69845,0.61393,0.65406,0.39298,1.66081,1.6016,1.71795,0.00667,0.00667,0.00667
76,9546.89,1.654,1.70447,1.60476,0.70027,0.61502,0.65575,0.39388,1.66013,1.59962,1.71678,0.006625,0.006625,0.006625
77,9735.77,1.64902,1.69757,1.60827,0.70209,0.61436,0.65626,0.394,1.65935,1.59766,1.71559,0.00658,0.00658,0.00658
78,9924.07,1.64288,1.69617,1.60485,0.69833,0.6183,0.65628,0.39433,1.65874,1.59566,1.7148,0.006535,0.006535,0.006535
79,10112.7,1.6471,1.69391,1.59903,0.69972,0.61975,0.65706,0.39468,1.65808,1.59353,1.71365,0.00649,0.00649,0.00649
80,10300.5,1.65103,1.7006,1.60446,0.70279,0.6183,0.65804,0.39587,1.65778,1.59177,1.71296,0.006445,0.006445,0.006445
81,10488.8,1.64282,1.68693,1.6033,0.70391,0.61653,0.658,0.39632,1.65715,1.58972,1.7118,0.0064,0.0064,0.0064
82,10676.1,1.64307,1.69192,1.60073,0.70318,0.62083,0.65878,0.39617,1.65683,1.58753,1.71093,0.006355,0.006355,0.006355
83,10864.4,1.63641,1.67464,1.59166,0.70942,0.61715,0.66096,0.39716,1.65619,1.58532,1.70948,0.00631,0.00631,0.00631
84,11052.5,1.63778,1.67656,1.59662,0.71162,0.61722,0.66165,0.39741,1.65538,1.58288,1.70821,0.006265,0.006265,0.006265
85,11240.7,1.63875,1.6641,1.5885,0.71327,0.6158,0.66152,0.39784,1.65522,1.58111,1.70711,0.00622,0.00622,0.00622
86,11429.1,1.63583,1.66773,1.58739,0.71268,0.61679,0.66256,0.39835,1.65459,1.5795,1.70609,0.006175,0.006175,0.006175
87,11617.8,1.62688,1.65405,1.58467,0.71261,0.61782,0.66445,0.39947,1.65377,1.5771,1.70479,0.00613,0.00613,0.00613
88,11806,1.62868,1.64753,1.58579,0.71353,0.61717,0.66339,0.3996,1.65294,1.57487,1.70352,0.006085,0.006085,0.006085
89,11994.1,1.62765,1.65094,1.58705,0.71381,0.62003,0.66505,0.40061,1.65202,1.57243,1.70229,0.00604,0.00604,0.00604
90,12182.2,1.62914,1.65797,1.58737,0.71142,0.62275,0.66713,0.40135,1.65095,1.57027,1.70092,0.005995,0.005995,0.005995
91,12370.6,1.62886,1.65129,1.58426,0.71551,0.62045,0.66756,0.40305,1.65003,1.56823,1.69948,0.00595,0.00595,0.00595
92,12559,1.61801,1.63943,1.58155,0.71587,0.62277,0.66923,0.4033,1.6496,1.5661,1.69859,0.005905,0.005905,0.005905
