epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.576,3.88492,5.20627,4.0415,0.00114,0.36513,0.00729,0.00228,3.76505,3.89041,3.9263,0.00333084,0.00333084,0.00333084
2,215.808,3.27991,4.3177,3.29372,0.60085,0.03282,0.0376,0.01235,2.89454,3.63622,2.97437,0.00663418,0.00663418,0.00663418
3,317.699,2.62608,3.51944,2.64836,0.39931,0.09154,0.07106,0.02782,2.54034,3.42837,2.59007,0.00990753,0.00990753,0.00990753
4,418.785,2.35111,3.10085,2.37155,0.35105,0.21329,0.1726,0.07782,2.28634,2.81509,2.36808,0.009865,0.009865,0.009865
5,522.96,2.20116,2.84476,2.21831,0.28449,0.2848,0.23199,0.1061,2.14665,2.55548,2.23609,0.00982,0.00982,0.00982
6,624.813,2.1145,2.71027,2.13618,0.35652,0.28843,0.25731,0.13069,2.08705,2.49897,2.18202,0.009775,0.009775,0.009775
7,725.727,2.06419,2.60826,2.07936,0.35326,0.34678,0.29259,0.14577,2.02045,2.38226,2.11318,0.00973,0.00973,0.00973
8,826.678,2.02012,2.519,2.03178,0.41522,0.37296,0.35463,0.18887,2.00728,2.28146,2.08266,0.009685,0.009685,0.009685
9,927.494,1.98896,2.46023,1.99364,0.45071,0.37308,0.36583,0.19195,1.94754,2.24731,2.02022,0.00964,0.00964,0.00964
10,1028.32,1.96247,2.4102,1.96267,0.42324,0.4152,0.38563,0.19757,1.93893,2.23159,2.01976,0.009595,0.009595,0.009595
11,1129.23,1.94138,2.3695,1.94736,0.47319,0.43652,0.42823,0.2283,1.9184,2.13491,2.00759,0.00955,0.00955,0.00955
12,1230.18,1.92565,2.32322,1.92136,0.51401,0.44634,0.44633,0.24342,1.88192,2.09521,1.97282,0.009505,0.009505,0.009505
13,1330.96,1.90376,2.27899,1.90852,0.49549,0.45582,0.45209,0.2365,1.90473,2.06797,1.99593,0.00946,0.00946,0.00946
14,1431.8,1.88774,2.25516,1.88927,0.55702,0.46427,0.4806,0.26103,1.85879,2.02075,1.92608,0.009415,0.009415,0.009415
15,1532.96,1.88027,2.22756,1.88057,0.55554,0.48831,0.50079,0.27217,1.84079,1.9956,1.91485,0.00937,0.00937,0.00937
16,1633.65,1.86919,2.21043,1.86172,0.56419,0.48264,0.50634,0.2772,1.84265,1.99002,1.92751,0.009325,0.009325,0.009325
17,1734.4,1.86024,2.18632,1.85304,0.59266,0.48431,0.51591,0.29059,1.83055,1.94977,1.91272,0.00928,0.00928,0.00928
18,1834.84,1.84918,2.16141,1.83852,0.58035,0.51112,0.5179,0.29044,1.81042,1.93118,1.88405,0.009235,0.009235,0.009235
19,1935.32,1.84257,2.15602,1.83497,0.57087,0.50961,0.52759,0.29585,1.80117,1.92527,1.87382,0.00919,0.00919,0.00919
20,2036.01,1.83476,2.1245,1.82824,0.59029,0.51859,0.54174,0.30659,1.78728,1.88391,1.86989,0.009145,0.009145,0.009145
21,2136.72,1.83424,2.11693,1.81696,0.61937,0.52542,0.55118,0.31335,1.78117,1.87684,1.85434,0.0091,0.0091,0.0091
22,2238,1.81976,2.09132,1.8119,0.60834,0.53509,0.55605,0.31528,1.77474,1.8577,1.85178,0.009055,0.009055,0.009055
23,2339.25,1.81146,2.07104,1.79583,0.59582,0.53055,0.55551,0.32134,1.76548,1.83384,1.84281,0.00901,0.00901,0.00901
24,2440.28,1.80441,2.0536,1.7876,0.64986,0.52841,0.56618,0.32774,1.74938,1.82076,1.82117,0.008965,0.008965,0.008965
25,2541.73,1.79833,2.03536,1.78042,0.61775,0.54122,0.57247,0.33668,1.75168,1.81089,1.82778,0.00892,0.00892,0.00892
