epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,150.994,3.84104,5.13483,3.97826,0.00137,0.36673,0.00339,0.00096,3.45185,3.93677,3.70499,0.00333084,0.00333084,0.00333084
2,295.409,2.90663,3.96768,2.97671,0.53359,0.12977,0.08212,0.0319,2.61672,3.3229,2.67173,0.00664418,0.00664418,0.00664418
3,460.364,2.46437,3.26506,2.50208,0.22212,0.20021,0.14925,0.07045,2.39677,2.9898,2.45083,0.00993752,0.00993752,0.00993752
4,567.893,2.28552,2.99021,2.30965,0.43179,0.21347,0.22489,0.09834,2.20829,2.71884,2.32235,0.00991,0.00991,0.00991
5,681.04,2.16339,2.77122,2.17782,0.31889,0.30275,0.25657,0.12146,2.14715,2.52066,2.22793,0.00988,0.00988,0.00988
6,869.296,2.08387,2.65867,2.10146,0.33515,0.32666,0.28709,0.14425,2.0539,2.41523,2.13814,0.00985,0.00985,0.00985
7,1062.75,2.04345,2.56642,2.05148,0.40846,0.35177,0.34245,0.17205,2.00994,2.35773,2.10945,0.00982,0.00982,0.00982
8,1255.7,2.00198,2.48244,2.01318,0.39841,0.38055,0.35672,0.18697,2.01626,2.264,2.09815,0.00979,0.00979,0.00979
9,1448.66,1.97296,2.42942,1.97799,0.43966,0.40752,0.39697,0.21012,1.95506,2.222,2.03307,0.00976,0.00976,0.00976
10,1640.48,1.948,2.3761,1.95273,0.45462,0.41169,0.39728,0.19974,1.91893,2.18188,2.01819,0.00973,0.00973,0.00973
11,1832.29,1.93277,2.33942,1.93658,0.50475,0.43052,0.43485,0.23478,1.91023,2.1173,1.99107,0.0097,0.0097,0.0097
12,2024.35,1.91255,2.30022,1.90798,0.49758,0.44677,0.44872,0.24116,1.87324,2.05591,1.93053,0.00967,0.00967,0.00967
13,2218.13,1.8952,2.25446,1.89964,0.50106,0.46181,0.46596,0.25449,1.87694,2.05803,1.95144,0.00964,0.00964,0.00964
