epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,117.415,3.88493,5.26144,4.07017,0.00104,0.37628,0.00172,0.00049,3.74379,3.89413,3.84249,0.00333084,0.00333084,0.00333084
2,224.72,3.41261,4.43983,3.34002,0.29168,0.21488,0.01564,0.00464,3.09279,3.67959,2.99967,0.00664418,0.00664418,0.00664418
3,330.119,2.69799,3.61772,2.63455,0.54302,0.12393,0.09296,0.03955,2.48668,3.50552,2.4718,0.00993752,0.00993752,0.00993752
4,433.714,2.34534,3.09018,2.3255,0.34497,0.22676,0.17553,0.07671,2.25033,2.76911,2.33908,0.00991,0.00991,0.00991
5,537.189,2.18178,2.80377,2.16154,0.3533,0.28739,0.2366,0.11524,2.13879,2.56596,2.18337,0.00988,0.00988,0.00988
6,718.297,2.09803,2.66377,2.08781,0.32132,0.32157,0.25561,0.12917,2.0762,2.41897,2.12927,0.00985,0.00985,0.00985
7,910.511,2.04291,2.57396,2.03775,0.33777,0.36782,0.3201,0.16439,2.01765,2.38465,2.12454,0.00982,0.00982,0.00982
8,1102.96,2.00273,2.49433,2.00549,0.36054,0.39463,0.34947,0.17615,1.99963,2.29978,2.10138,0.00979,0.00979,0.00979
9,1294.95,1.97247,2.41987,1.9668,0.44253,0.3941,0.39057,0.20929,1.94617,2.20389,2.02109,0.00976,0.00976,0.00976
10,1486.93,1.94961,2.37582,1.94225,0.4388,0.43241,0.40573,0.21055,1.92083,2.16601,2.01175,0.00973,0.00973,0.00973
11,1678.69,1.92824,2.3321,1.92488,0.50663,0.44049,0.44352,0.23792,1.91218,2.11381,1.99157,0.0097,0.0097,0.0097
12,1870.81,1.91501,2.29928,1.90141,0.52372,0.44555,0.45444,0.2455,1.87418,2.05864,1.95411,0.00967,0.00967,0.00967
13,2062.65,1.89062,2.24739,1.89189,0.53523,0.45889,0.47896,0.25805,1.88151,2.01543,1.95779,0.00964,0.00964,0.00964
14,2255.03,1.8774,2.22036,1.87679,0.55092,0.47266,0.49394,0.27473,1.84465,2.00244,1.91857,0.00961,0.00961,0.00961
15,2446.69,1.86761,2.20031,1.87107,0.54905,0.50348,0.51206,0.28884,1.83722,1.98724,1.91795,0.00958,0.00958,0.00958
16,2638.02,1.85795,2.17986,1.85467,0.57747,0.48434,0.51197,0.27858,1.83749,1.9578,1.93399,0.00955,0.00955,0.00955
17,2829.62,1.84316,2.15229,1.84104,0.57355,0.49992,0.53011,0.30149,1.81585,1.93264,1.89462,0.00952,0.00952,0.00952
18,3020.67,1.83754,2.13518,1.83079,0.56374,0.51542,0.53336,0.30332,1.79925,1.8933,1.87806,0.00949,0.00949,0.00949
19,3213.27,1.83416,2.12303,1.82684,0.58398,0.51857,0.54215,0.30675,1.79112,1.89064,1.88644,0.00946,0.00946,0.00946
20,3405.01,1.81968,2.09606,1.81506,0.59447,0.52726,0.55318,0.3166,1.76592,1.86363,1.84949,0.00943,0.00943,0.00943
21,3596.44,1.81543,2.09177,1.80497,0.58984,0.53673,0.55953,0.32289,1.77374,1.84828,1.84745,0.0094,0.0094,0.0094
22,3788.08,1.80627,2.06171,1.79845,0.6001,0.53883,0.56431,0.31817,1.76689,1.8301,1.84651,0.00937,0.00937,0.00937
23,3979.88,1.79981,2.04585,1.79054,0.62475,0.54075,0.57292,0.33649,1.75002,1.81187,1.83738,0.00934,0.00934,0.00934
24,4171.5,1.79246,2.02522,1.78313,0.61384,0.55539,0.57717,0.3385,1.74997,1.79445,1.83075,0.00931,0.00931,0.00931
25,4363.03,1.78719,2.01407,1.78098,0.62182,0.54976,0.58393,0.33404,1.74879,1.78319,1.83159,0.00928,0.00928,0.00928
26,4554.61,1.78983,2.01992,1.77727,0.62569,0.56038,0.58987,0.34621,1.73826,1.77309,1.82054,0.00925,0.00925,0.00925
27,4745.91,1.77733,1.9926,1.76818,0.62649,0.56052,0.5946,0.35086,1.73037,1.76231,1.81166,0.00922,0.00922,0.00922
28,4937.83,1.77036,1.98268,1.75895,0.62939,0.57441,0.60255,0.35668,1.72539,1.75426,1.80182,0.00919,0.00919,0.00919
29,5128.9,1.77291,1.97102,1.75656,0.64137,0.56743,0.606,0.35867,1.7202,1.74221,1.79395,0.00916,0.00916,0.00916
30,5320.72,1.7716,1.96892,1.75462,0.65819,0.56812,0.61269,0.35882,1.72143,1.72438,1.79515,0.00913,0.00913,0.00913
31,5512.23,1.75399,1.95095,1.74436,0.65135,0.5755,0.61355,0.36733,1.71614,1.72426,1.79294,0.0091,0.0091,0.0091
32,5703.52,1.7527,1.93728,1.74311,0.65176,0.57846,0.61535,0.36961,1.7102,1.71396,1.78665,0.00907,0.00907,0.00907
33,5894.9,1.75001,1.93049,1.73763,0.6647,0.57134,0.61834,0.36937,1.71204,1.70668,1.78835,0.00904,0.00904,0.00904
34,6086.63,1.75074,1.92593,1.7358,0.65733,0.573,0.61875,0.37175,1.70701,1.70301,1.78631,0.00901,0.00901,0.00901
35,6277.98,1.74647,1.92732,1.72869,0.65688,0.58874,0.62468,0.37532,1.70072,1.69352,1.77683,0.00898,0.00898,0.00898
36,6469.53,1.73848,1.9137,1.72233,0.65213,0.59016,0.62469,0.37511,1.69739,1.68882,1.77279,0.00895,0.00895,0.00895
37,6660.91,1.73504,1.88835,1.71522,0.65824,0.59101,0.62927,0.3781,1.69492,1.6806,1.77003,0.00892,0.00892,0.00892
38,6852.28,1.74553,1.91042,1.72327,0.66299,0.59026,0.63004,0.37812,1.6962,1.67612,1.76996,0.00889,0.00889,0.00889
39,7041.11,1.72796,1.88478,1.71175,0.6468,0.59647,0.63039,0.38071,1.6934,1.67069,1.76765,0.00886,0.00886,0.00886
40,7229.89,1.73007,1.89614,1.71016,0.65737,0.59885,0.63234,0.38136,1.69196,1.66708,1.76626,0.00883,0.00883,0.00883
41,7419.67,1.72357,1.87127,1.70366,0.66646,0.59861,0.63493,0.38097,1.68927,1.66068,1.76326,0.0088,0.0088,0.0088
42,7610.15,1.71886,1.86579,1.69736,0.67006,0.60379,0.63964,0.38375,1.68629,1.65522,1.75915,0.00877,0.00877,0.00877
43,7800.44,1.71692,1.86362,1.70035,0.67584,0.60393,0.64014,0.3853,1.68507,1.65169,1.75672,0.00874,0.00874,0.00874
44,7990.25,1.71496,1.84872,1.6945,0.67051,0.60623,0.63986,0.38575,1.68413,1.64715,1.75582,0.00871,0.00871,0.00871
45,8180.26,1.71778,1.84388,1.69837,0.6763,0.60559,0.64305,0.38678,1.68223,1.64292,1.75466,0.00868,0.00868,0.00868
46,8370.69,1.71209,1.84509,1.69165,0.68122,0.60455,0.64382,0.38933,1.68052,1.64038,1.75362,0.00865,0.00865,0.00865
47,8561.13,1.70962,1.83183,1.69121,0.68206,0.6072,0.64569,0.38999,1.6792,1.63609,1.7523,0.00862,0.00862,0.00862
48,8751.7,1.70278,1.82713,1.67825,0.6732,0.61048,0.64741,0.39072,1.67857,1.6336,1.75091,0.00859,0.00859,0.00859
49,8941.54,1.70975,1.82932,1.68077,0.66788,0.61573,0.64769,0.39108,1.67765,1.63141,1.74965,0.00856,0.00856,0.00856
50,9132.85,1.69965,1.82089,1.67326,0.67214,0.61323,0.64851,0.39161,1.67621,1.6291,1.74743,0.00853,0.00853,0.00853
51,9324.55,1.70116,1.80406,1.6768,0.67609,0.61241,0.64915,0.39239,1.67463,1.62672,1.74596,0.0085,0.0085,0.0085
52,9516.49,1.69317,1.81645,1.67362,0.67847,0.61352,0.64913,0.39339,1.67335,1.62477,1.74476,0.00847,0.00847,0.00847
53,9707.96,1.68915,1.80638,1.67126,0.6802,0.61427,0.64975,0.39494,1.67249,1.62278,1.74335,0.00844,0.00844,0.00844
54,9899.51,1.69097,1.79803,1.66986,0.68104,0.61383,0.64903,0.39567,1.67218,1.62179,1.74259,0.00841,0.00841,0.00841
55,10090.8,1.68411,1.79315,1.66334,0.68236,0.61529,0.64958,0.39584,1.67097,1.61994,1.74125,0.00838,0.00838,0.00838
56,10282,1.68797,1.78361,1.66587,0.68375,0.61498,0.65074,0.39638,1.67029,1.61858,1.74051,0.00835,0.00835,0.00835
