epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.926,3.86887,4.98916,3.9913,0.00106,0.31454,0.00214,0.0006,3.56032,3.75595,3.68817,0.00333084,0.00333084,0.00333084
2,263.136,2.88698,3.93489,2.93826,0.39125,0.12097,0.06591,0.0225,2.55298,3.45996,2.63893,0.00665218,0.00665218,0.00665218
3,366.419,2.37521,3.16412,2.38548,0.15042,0.23106,0.13043,0.0548,2.30756,2.95535,2.37486,0.00996152,0.00996152,0.00996152
4,468.901,2.19223,2.86799,2.18883,0.38953,0.26054,0.21492,0.1028,2.13254,2.66335,2.19281,0.009946,0.009946,0.009946
5,571.183,2.07563,2.68434,2.06131,0.43596,0.23476,0.22947,0.11349,2.10442,2.53581,2.14873,0.009928,0.009928,0.009928
6,673.841,2.01696,2.57547,1.98404,0.35253,0.35199,0.31106,0.15754,2.0063,2.39788,2.04723,0.00991,0.00991,0.00991
7,776.758,1.97109,2.48661,1.94892,0.33075,0.3739,0.30589,0.16043,1.96586,2.356,2.04981,0.009892,0.009892,0.009892
8,879.27,1.9336,2.41049,1.89903,0.37002,0.36728,0.35499,0.18292,1.9623,2.2725,2.00705,0.009874,0.009874,0.009874
9,982.297,1.90648,2.35205,1.87348,0.45488,0.41826,0.39979,0.20678,1.91442,2.18985,1.96383,0.009856,0.009856,0.009856
10,1085.08,1.89826,2.31388,1.84978,0.45861,0.44534,0.43243,0.23176,1.89756,2.13313,1.93385,0.009838,0.009838,0.009838
11,1187.5,1.86871,2.26588,1.82454,0.52458,0.43345,0.44615,0.2383,1.864,2.10289,1.89338,0.00982,0.00982,0.00982
12,1290.04,1.853,2.23308,1.81399,0.50137,0.46058,0.45557,0.2369,1.87373,2.08914,1.94023,0.009802,0.009802,0.009802
13,1392.74,1.8329,2.19127,1.78896,0.56974,0.45127,0.46859,0.25499,1.82964,2.01977,1.87327,0.009784,0.009784,0.009784
14,1495.3,1.82997,2.16393,1.77956,0.52827,0.48421,0.49412,0.27169,1.82803,1.99669,1.87442,0.009766,0.009766,0.009766
15,1597.55,1.81795,2.15308,1.76767,0.50792,0.49105,0.49085,0.2659,1.80163,1.97334,1.85642,0.009748,0.009748,0.009748
16,1700.12,1.80826,2.11808,1.75595,0.57334,0.48958,0.50958,0.2789,1.80266,1.93669,1.8623,0.00973,0.00973,0.00973
17,1826.82,1.79957,2.10824,1.74665,0.58536,0.48975,0.52276,0.29159,1.78954,1.9301,1.84584,0.009712,0.009712,0.009712
18,1984.12,1.78873,2.08664,1.7427,0.56895,0.49472,0.51942,0.29171,1.78604,1.89936,1.84383,0.009694,0.009694,0.009694
19,2092,1.77413,2.05365,1.72149,0.60089,0.50044,0.53355,0.30649,1.76452,1.87016,1.80775,0.009676,0.009676,0.009676
20,2200.16,1.76884,2.04026,1.71531,0.58613,0.50934,0.53815,0.30822,1.75345,1.87157,1.8035,0.009658,0.009658,0.009658
21,2305.57,1.76834,2.03517,1.71746,0.59121,0.5272,0.55262,0.32096,1.74741,1.85206,1.79874,0.00964,0.00964,0.00964
22,2408.82,1.75722,2.00853,1.70716,0.60734,0.52645,0.56181,0.32375,1.75387,1.83652,1.79933,0.009622,0.009622,0.009622
23,2512.8,1.76066,2.00438,1.70199,0.60473,0.52793,0.56278,0.32747,1.75029,1.81942,1.79975,0.009604,0.009604,0.009604
