epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,254.515,3.84775,5.13868,3.97977,0.0012,0.37247,0.00796,0.00203,3.48449,3.76065,3.6274,0.00333084,0.00333084,0.00333084
2,497.935,2.91402,3.9996,2.97997,0.54573,0.13348,0.09014,0.03485,2.57439,3.18787,2.63238,0.00665218,0.00665218,0.00665218
3,739.513,2.44624,3.22399,2.45806,0.26946,0.22227,0.18093,0.08313,2.33996,3.00103,2.40693,0.00996152,0.00996152,0.00996152
4,971.929,2.25171,2.93703,2.25328,0.38578,0.2379,0.20947,0.09671,2.15516,2.65366,2.21706,0.009946,0.009946,0.009946
5,1204.73,2.12883,2.71833,2.10409,0.42344,0.26314,0.25624,0.12493,2.08,2.52304,2.14074,0.009928,0.009928,0.009928
6,1418.01,2.06194,2.60152,2.03561,0.34297,0.36111,0.29942,0.15791,2.01994,2.41675,2.08017,0.00991,0.00991,0.00991
7,1652.58,2.01259,2.51454,1.97468,0.40542,0.37547,0.34683,0.18052,1.97834,2.30119,2.01238,0.009892,0.009892,0.009892
8,1884.67,1.97215,2.44064,1.93645,0.43407,0.39511,0.36018,0.19139,1.96305,2.24863,2.01621,0.009874,0.009874,0.009874
9,2115.31,1.94294,2.38195,1.90091,0.43938,0.41374,0.39972,0.22233,1.8986,2.18215,1.94826,0.009856,0.009856,0.009856
10,2345.39,1.91908,2.33662,1.877,0.48119,0.43238,0.42807,0.22224,1.88677,2.14277,1.9469,0.009838,0.009838,0.009838
11,2574.76,1.9052,2.29255,1.86113,0.52074,0.44047,0.45772,0.24618,1.87134,2.07759,1.91067,0.00982,0.00982,0.00982
12,2773.26,1.88827,2.25654,1.83519,0.52662,0.4608,0.45668,0.24663,1.84872,2.03664,1.88878,0.009802,0.009802,0.009802
13,2965.91,1.86866,2.21186,1.82097,0.55317,0.47805,0.49614,0.27422,1.8442,1.99055,1.8995,0.009784,0.009784,0.009784
14,3159.97,1.85683,2.19893,1.81238,0.52815,0.50231,0.50841,0.28221,1.82126,1.96679,1.85384,0.009766,0.009766,0.009766
15,3354.32,1.84839,2.16307,1.79995,0.53404,0.51585,0.52005,0.29426,1.79577,1.92742,1.83414,0.009748,0.009748,0.009748
